Acerola,Fruit,"DNA Protection, Immunity"
Almond Butter,Sweets,DNA Protection
Almonds,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, DNA Protection"
Aged Garlic,Vegetables,Immunity
Anchovies,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Apple peel,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Apples,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Apricots,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Asparagus,Vegetables,"Angiogenesis Stimulating, Microbiome"
Arctic char,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Arugula,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Bamboo shoots,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Barley,"Grains, Seeds, Flours","Angiogenesis Antiangiogenic, Angiogenesis Stimulating,Regeneration, Immunity"
Basil,Herbs and Spices,DNA Protection
Beer,"Beverages, Soups","Angiogenesis Antiangiogenic, Regeneration"
Belgian endive,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Bigeye tuna,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bitter melon,Fruit,Regeneration
Black bass,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Black beans,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, Regeneration, Microbiome"
Black plums,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Immunity"
Black raspberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Immunity"
Black tea,"Beverages, Soups","Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Blackberries,Fruit,"Angiogenesis Antiangiogenic, Immunity"
Blueberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection"
Blueberries (dried),Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Bluefin tuna,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bluefish,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bok Choy,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Bottarga,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Brazil nuts,"Legumes, Nuts,  Beans",DNA Protection
Broccoli,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Broccoli rabe,Vegetables,"Angiogenesis Antiangiogenic, DNA Protection, Immunity"
Broccoli sprouts,Vegetables,"DNA Protection, Immunity"
Cabbage,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Camembert cheese,Dairy,"Angiogenesis Antiangiogenic, Microbiome"
Camu camu,Fruit,"DNA Protection, Immunity"
Capers,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Carrots,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Cashews,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, DNA Protection"
Cauliflower,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Caviar (sturgeon)    ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Cherries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Cherries (dried),Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Cherry tomatoes,Fruit,"Angiogenesis Antiangiogenic, DNA Protection, Immunity"
Chestnuts,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Chamomile tea,"Beverages, Soups","Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Chanterelle mushrooms ,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Chia seeds,"Herbs, Spices","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration,Microbiome, Immunity"
Chicken (dark meat),Meats,Angiogenesis Antiangiogenic
Chickpeas,"Legumes, Nuts,  Beans",Microbiome
Chile peppers,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Chinese Celery,Vegetables,Regeneration
Cinnamon,"Herbs, Spices",Angiogenesis Antiangiogenic
Cloudy apple cider,"Beverages, Soups",Angiogenesis Antiangiogenic
Cockles (clam),Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Coffee,"Beverages, Soups","Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Collard greens,vegetables,Immunity
Concord grape juice,"Beverages, Soups","Microbiome, DNA Protection, Immunity"
Cranberries,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Microbiome"
Cranberries (dried),Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Cranberrie juice,"Beverages, Soups","Microbiome, Immunity"
Dark chocolate,Sweets,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Eastern oysters,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Edam cheese,Dairy,Angiogenesis Antiangiogenic
Eggplant,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Emmenthal cheese,Dairy,Angiogenesis Antiangiogenic
Enoki mushrooms,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Escarole,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Fiddleheads,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Fish roe (salmon),Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Flax seeds,"Grains, Seeds, Flours","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, DNA Protection"
Frisee ,vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Ginseng,"Herbs, Spices","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Gouda cheese,Dairy,"Angiogenesis Antiangiogenic, Microbiome"
Gray mullet,Seafood,"Angiogenesis Antiangiogenic,Regeneration"
Goji Berries,Fruit,"Regeneration, Immunity"
Grapes,Fruit,Regeneration
Grape fruit,Fruit,"DNA Protection, Immunity"
Green Beans,Fruit,Regeneration
Green tea,"Beverages, Soups","Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Guava,Fruit,"Angiogenesis Antiangiogenic, DNA Protection, Immunity"
Hake,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Halibut,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Hazelnuts,"Legumes, Nuts, Beans",DNA Protection
Jamón iberico de bellota,Meats,Angiogenesis Antiangiogenic
Jarlsberg cheese,Dairy,Angiogenesis Antiangiogenic
Jasmine green tea,"Beverages, Soups",Angiogenesis Antiangiogenic
John Dory (fish) ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Kale,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Kimchi      ,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, Microbiome, Immunity"
Kiwifruit,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Lentils,"Legumes, Nuts, Beans",Microbiome
Licorice root,Herbs and Spices,"Angiogenesis Antiangiogenic, Immunity"
Lion’s mane mushrooms ,"Legumes, Nuts,  Beans",Microbiome
Lychee,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Macadamia nuts,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, DNA Protection"
Mackerel,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Maitake mushrooms,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Mangoes,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Manila clams,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Marjoram,"Herbs, Spices",DNA Protection
Mediterranean sea bass,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Mixed berry juice,"Beverages, Soups",DNA Protection
Morel mushrooms,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Muenster cheese,Dairy,Angiogenesis Antiangiogenic
Mustard greens,Vegetables,"Regeneration, Immunity"
Navy beans,Herbs and Spices,"Angiogenesis Antiangiogenic, Microbiome"
Nectarines,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Olive oil (EVOO),Oils and Sauces,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, Immunity"
Onions,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, DNA Protection, Immunity"
Oolong tea   ,"Beverages, Soups","Angiogenesis Antiangiogenic, Microbiome, DNA Protection"
Orange juice,"Beverages, Soups","DNA Protection, Immunity"
Oranges,Fruit,"DNA Protection, Immunity"
Oregano,Herbs and Spices,"Angiogenesis Antiangiogenic, Regeneration"
Oyster mushrooms,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Oyster sauce,Oils and Sauces,DNA Protection
Pacific oysters,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection, Immunity"
Papaya,Fruit,DNA Protection
Pao cai,Vegetables,Microbiome
Parmigiano-Reggiano Cheese,Dairy,Microbiome
Peaches ,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Peas,Fruit,Microbiome
Pecans ,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, DNA Protection"
Peanut Butter,Sweets,DNA Protection
Peppermint,Herbs and Spices,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, DNA Protection, Immunity"
Peanuts,"Legumes, Nuts, Beans","Regeneration, DNA Protection"
Persimmon ,Fruit,Regeneration
Pine nuts,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, DNA Protection"
Pink grapefruit ,Fruit,"Angiogenesis Antiangiogenic, DNA Protection"
Pistachios,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Plums    ,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Pomegranates ,Fruit,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection, Immunity"
Pomegranate juice ,"Beverages, Soups",Microbiome
Pompano ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Porcini mushrooms ,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Proscuitto di Parma,Meats,Angiogenesis Antiangiogenic
Pumpernickel bread ,"Grains, Seeds, Flours",Microbiome
Pumpkin seeds,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, DNA Protection, Immunity"
Puntarelle,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Radicchio,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Rainbow trout,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Raspberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Immunity"
Razor Clams,Seafood,"Regeneration, Immunity"
Red black-skin tomatoes,Fruit,"Angiogenesis Antiangiogenic, DNA Protection"
Redfish,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Red-leaf lettuce ,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Red mullet,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
"Red wine (Cabernet, Cabernet Franc, Petit Verdot) ","Oils, Sauces","Angiogenesis Antiangiogenic, Regeneration, Microbiome, Immunity"
Rice Bran,"Grains, Seeds, Flours",Regeneration
Romanesco,Vegetables,"Angiogenesis Antiangiogenic, DNA Protection, Immunity"
Rosemary  ,"Herbs, Spices","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, DNA Protection, Immunity"
Rutabaga,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Sage,"Herbs, Spices",DNA Protection
Saffron,"Herbs, Spices","Regeneration, DNA Protection, Immunity"
Salmon,Seafood,"Angiogenesis Antiangiogenic, Regeneration"
San Marzano tomatoes,Fruit,"Angiogenesis Antiangiogenic, DNA Protection"
Sardine,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Sauerkraut,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, Immunity"
Sea bass,Seafood,"Regeneration, DNA Protection"
Sea bream ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Sea cucumber,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Sencha green tea  ,"Beverages, Soups","Angiogenesis Antiangiogenic, Regeneration"
Sesame seeds,Herbs and Spices,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Microbiome, DNA Protection, Immunity"
Shiitake mushrooms ,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Sourdough bread,"Grains, Seeds, Flours",Microbiome
Soy,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Spinach,Vegetables,"Regeneration, Immunity"
Spiny lobster ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Squid ink,Oils and Sauces,"Angiogenesis Antiangiogenic, Microbiome, Microbiome, Immunity"
Squash blossoms,Fruit,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection, Immunity"
Squash seeds,"Grains, Seeds, Flours",DNA Protection
Stilton cheese   ,Dairy,Angiogenesis Antiangiogenic
Strawberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection, Immunity"
Sultana raisins ,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Sunflower seeds ,"Grains, Seeds, Flours","Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome"
Swiss chard,Vegetables,"Regeneration, Immunity"
Swordfish ,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Tahini,"Oils, Sauces",DNA Protection
Tangerine,Fruit,"Angiogenesis Antiangiogenic, DNA Protection"
Tardivo di Treviso,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Microbiome, Immunity"
Tomatoes,Fruit,Microbiome
Thyme,"Herbs, Spices","Regeneration, DNA Protection"
Truffles,Fruit,"Regeneration, DNA Protection, Immunity"
Tieguanyin green tea,"Beverages, Soups",Angiogenesis Antiangiogenic
Tuna,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Turmeric,"Herbs, Spices","Angiogenesis Antiangiogenic, Regeneration, DNA Protection, Immunity"
Turnips ,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, Microbiome, DNA Protection, Immunity"
Walnuts ,"Legumes, Nuts, Beans","Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Wasabi,Vegetables,Regeneration
Watercress,Vegetables,"Regeneration, Immunity"
White button mushrooms,"Legumes, Nuts,  Beans","Microbiome, Immunity"
Whole grains,"Grains, Seeds, Flours","Regeneration, Microbiome"
Watermelon,Fruit,"Angiogenesis Antiangiogenic, DNA Protection"
Yellowtail (fish),Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Yogurt,Dairy,Microbiome
