Name,Category,Action
Acerola,Fruit,DNA Protection;Immunity
Almond Butter,Sweets,DNA Protection
Almonds,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Aged Garlic,Vegetables,Immunity
Anchovies,Vegetables,Angiogenesis;Regeneration;DNA Protection
Apple peel,Fruit,Angiogenesis;Regeneration;Immunity
Apples,Fruit,Angiogenesis;Regeneration;Immunity
Apricots,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Asparagus,Vegetables,Angiogenesis;Microbiome
Arctic char,Seafood,Angiogenesis;Regeneration;DNA Protection
Arugula,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Bamboo shoots,Legumes;Nuts;Beans,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Barley,Grains;Seeds;Flours,Angiogenesis;Regeneration;Immunity
Basil,Herbs;Spices,DNA Protection
Beer,Beverages;Soups,Angiogenesis;Regeneration
Belgian endive,Vegetables,Angiogenesis;Regeneration;Immunity
Bigeye tuna,Seafood,Angiogenesis;Regeneration;DNA Protection
Bitter melon,Fruit,Regeneration
Black bass,Seafood,Angiogenesis;Regeneration;DNA Protection
Black beans,Legumes;Nuts;Beans,Angiogenesis;Regeneration;Microbiome
Black plums,Fruit,Angiogenesis;Immunity
Black raspberries,Fruit,Angiogenesis;Regeneration;Immunity
Black tea,Beverages;Soups,Angiogenesis;Microbiome;DNA Protection;Immunity
Blackberries,Fruit,Angiogenesis;Immunity
Blueberries,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection
Blueberries(dried),Fruit,Angiogenesis;Regeneration;Immunity
Bluefin tuna,Seafood,Angiogenesis;Regeneration;DNA Protection
Bluefish,Seafood,Angiogenesis;Regeneration;DNA Protection
Bok Choy,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Bottarga,Seafood,Angiogenesis;Regeneration;DNA Protection
Brazil nuts,Legumes;Nuts;Beans,DNA Protection
Broccoli,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Broccoli rabe,Vegetables,Angiogenesis;DNA Protection;Immunity
Broccoli sprouts,Vegetables,DNA Protection;Immunity
Cabbage,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Camembert cheese,Dairy,Angiogenesis;Microbiome
Camu camu,Fruit,DNA Protection;Immunity
Capers,Vegetables,Angiogenesis;Regeneration;Immunity
Carrots,Vegetables,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Cashews,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Cauliflower,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Caviar (sturgeon),Seafood,Angiogenesis;Regeneration;DNA Protection
Cherries,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Cherries (dried),Fruit,Angiogenesis;Regeneration;Immunity
Cherry tomatoes,Fruit,Angiogenesis;DNA Protection;Immunity
Chestnuts,Legumes;Nuts;Beans,Angiogenesis;Regeneration;DNA Protection
Chamomile tea,Beverages;Soups,Angiogenesis;Microbiome;DNA Protection;Immunity
Chanterelle mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Chia seeds,Herbs;Spices,Angiogenesis;Regeneration;Microbiome;Immunity
Chicken (dark meat),Meats,Angiogenesis
Chickpeas,Legumes;Nuts;Beans,Microbiome
Chile peppers,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Chinese Celery,Vegetables,Regeneration
Cinnamon,Herbs;Spices,Angiogenesis
Cloudy apple cider,Beverages;Soups,Angiogenesis
Cockles (clam),Seafood,Angiogenesis;Regeneration;DNA Protection
Coffee,Beverages;Soups,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Collard greens,vegetables,Immunity
Concord grape juice,Beverages;Soups,Microbiome;DNA Protection;Immunity
Cranberries,Fruit,Angiogenesis;Microbiome
Cranberries (dried),Fruit,Angiogenesis;Regeneration;Immunity
Cranberrie juice,Beverages;Soups,Microbiome;Immunity
Dark chocolate,Sweets,Angiogenesis;Microbiome;DNA Protection;Immunity
Eastern oysters,Seafood,Angiogenesis;Regeneration;DNA Protection
Edam cheese,Dairy,Angiogenesis
Eggplant,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Emmenthal cheese,Dairy,Angiogenesis
Enoki mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Escarole,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Fiddleheads,Vegetables,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Fish roe (salmon),Seafood,Angiogenesis;Regeneration;DNA Protection
Flaxseeds,Grains;Seeds;Flours,Angiogenesis;Regeneration;Microbiome;DNA Protection
Frisee,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Ginseng,Herbs;Spices,Angiogenesis;Regeneration;Immunity
Gouda cheese,Dairy,Angiogenesis;Microbiome
Gray mullet,Seafood,Angiogenesis;Regeneration
Goji Berries,Fruit,Regeneration;Immunity
Grapes,Fruit,Regeneration
Grape fruit,Fruit,DNA Protection;Immunity
Green Beans,Fruit,Regeneration
Green tea,Beverages;Soups,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Guava,Fruit,Angiogenesis;DNA Protection;Immunity
Hake,Seafood,Angiogenesis;Regeneration;DNA Protection
Halibut,Seafood,Angiogenesis;Regeneration;DNA Protection
Hazelnuts,Legumes;Nuts;Beans,DNA Protection
Jamón iberico de bellota,Meats,Angiogenesis
Jarlsberg cheese,Dairy,Angiogenesis
Jasmine green tea,Beverages;Soups,Angiogenesis
John Dory (fish),Seafood,Angiogenesis;Regeneration;DNA Protection
Kale,Vegetables,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Kimchi,Legumes;Nuts;Beans,Angiogenesis;Microbiome;Immunity
Kiwifruit,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Lentils,Legumes;Nuts;Beans,Microbiome
Licorice root,Herbs;Spices,Angiogenesis;Immunity
Lion’s mane mushrooms,Legumes;Nuts;Beans,Microbiome
Lychee,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Macadamia nuts,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Mackerel,Seafood,Angiogenesis;Regeneration;DNA Protection
Maitake mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Mangoes,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Manila clams,Seafood,Angiogenesis;Regeneration;DNA Protection
Marjoram,Herbs;Spices,DNA Protection
Mediterranean sea bass,Seafood,Angiogenesis;Regeneration;DNA Protection
Mixed berry juice,Beverages;Soups,DNA Protection
Morel mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Muenster cheese,Dairy,Angiogenesis
Mustard greens,Vegetables,Regeneration;Immunity
Navy beans,Herbs;Spices,Angiogenesis;Microbiome
Nectarines,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Olive oil(EVOO),Oils;Sauces,Angiogenesis;Regeneration;Microbiome;Immunity
Onions,Vegetables,Angiogenesis;Regeneration;DNA Protection;Immunity
Oolong tea,Beverages;Soups,Angiogenesis;Microbiome;DNA Protection
Orange juice,Beverages;Soups,DNA Protection;Immunity
Oranges,Fruit,DNA Protection;Immunity
Oregano,Herbs;Spices,Angiogenesis;Regeneration
Oyster mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Oyster sauce,Oils;Sauces,DNA Protection
Pacific oysters,Seafood,Angiogenesis;Regeneration;DNA Protection;Immunity
Papaya,Fruit,DNA Protection
Pao cai,Vegetables,Microbiome
Parmigiano-Reggiano Cheese,Dairy,Microbiome
Peaches,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Peas,Fruit,Microbiome
Pecans,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Peanut Butter,Sweets,DNA Protection
Peppermint,Herbs;Spices,Angiogenesis;Regeneration;DNA Protection;Immunity
Peanuts,Legumes;Nuts;Beans,Regeneration;DNA Protection
Persimmon,Fruit,Regeneration
Pine nuts,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Pink grapefruit,Fruit,Angiogenesis;DNA Protection
Pistachios,Legumes;Nuts;Beans,Angiogenesis;Regeneration;DNA Protection
Plums,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Pomegranates,Fruit,Angiogenesis;Regeneration;DNA Protection;Immunity
Pomegranate juice,Beverages;Soups,Microbiome
Pompano,Seafood,Angiogenesis;Regeneration;DNA Protection
Porcini mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Proscuitto di Parma,Meats,Angiogenesis
Pumpernickel bread,Grains;Seeds;Flours,Microbiome
Pumpkin seeds,Legumes;Nuts;Beans,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Puntarelle,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Radicchio,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Rainbow trout,Seafood,Angiogenesis;Regeneration;DNA Protection
Raspberries,Fruit,Angiogenesis;Regeneration;Immunity
Razor Clams,Seafood,Regeneration;Immunity
Red black-skin tomatoes,Fruit,Angiogenesis;DNA Protection
Redfish,Seafood,Angiogenesis;Regeneration;DNA Protection
Red-leaf lettuce,Vegetables,Angiogenesis;Regeneration;Immunity
Red mullet,Seafood,Angiogenesis;Regeneration;DNA Protection
Red wine,Oils;Sauces,Angiogenesis;Regeneration;Microbiome;Immunity
Rice Bran,Grains;Seeds;Flours,Regeneration
Romanesco,Vegetables,Angiogenesis;DNA Protection;Immunity
Rosemary,Herbs;Spices,Angiogenesis;Regeneration;DNA Protection;Immunity
Rutabaga,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Sage,Herbs;Spices,DNA Protection
Saffron,Herbs;Spices,Regeneration;DNA Protection;Immunity
Salmon,Seafood,Angiogenesis;Regeneration
San Marzano tomatoes,Fruit,Angiogenesis;DNA Protection
Sardine,Seafood,Angiogenesis;Regeneration;DNA Protection
Sauerkraut,Vegetables,Angiogenesis;Microbiome;Immunity
Sea bass,Seafood,Regeneration;DNA Protection
Sea bream,Seafood,Angiogenesis;Regeneration;DNA Protection
Sea cucumber,Seafood,Angiogenesis;Regeneration;DNA Protection
Sencha green tea,Beverages;Soups,Angiogenesis;Regeneration
Sesame seeds,Herbs;Spices,Angiogenesis;Microbiome;DNA Protection;Immunity
Shiitake mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Sourdough bread,Grains;Seeds;Flours,Microbiome
Soy,Legumes;Nuts;Beans,Angiogenesis;Regeneration;DNA Protection
Spinach,Vegetables,Regeneration;Immunity
Spiny lobster,Seafood,Angiogenesis;Regeneration;DNA Protection
Squid ink,Oils;Sauces,Angiogenesis;Microbiome;Immunity
Squash blossoms,Fruit,Angiogenesis;Regeneration;DNA Protection;Immunity
Squash seeds,Grains;Seeds;Flours,DNA Protection
Stilton cheese,Dairy,Angiogenesis
Strawberries,Fruit,Angiogenesis;Regeneration;DNA Protection;Immunity
Sultana raisins,Fruit,Angiogenesis;Regeneration;Immunity
Sunflower seeds,Grains;Seeds;Flours,Angiogenesis;Regeneration;Microbiome
Swiss chard,Vegetables,Regeneration;Immunity
Swordfish,Seafood,Angiogenesis;Regeneration;DNA Protection
Tahini,Oils;Sauces,DNA Protection
Tangerine,Fruit,Angiogenesis;DNA Protection
Tardivo di Treviso,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
Tomatoes,Fruit,Microbiome
Thyme,Herbs;Spices,Regeneration;DNA Protection
Truffles,Fruit,Regeneration;DNA Protection;Immunity
Tieguanyin green tea,Beverages;Soups,Angiogenesis
Tuna,Seafood,Angiogenesis;Regeneration;DNA Protection
Turmeric,Herbs;Spices,Angiogenesis;Regeneration;DNA Protection;Immunity
Turnips,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Walnuts,Nuts;Beans,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Wasabi,Vegetables,Regeneration
Watercress,Vegetables,Regeneration;Immunity
White button mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Whole grains,Grains;Seeds;Flours,Regeneration;Microbiome
Watermelon,Fruit,Angiogenesis;DNA Protection
Yellowtail (fish),Seafood,Angiogenesis;Regeneration;DNA Protection
Yogurt,Dairy,Microbiome
